1．	被判处拘役的犯罪分子，在执行期间参加劳动的，不得领取任何报酬。
31．	已满16周岁的人犯罪应负刑事责任，14~16周岁的人犯故意杀人罪、强奸、抢劫、贩毒、放火、爆炸、投放危险物质以及危害国家安全等罪行应负刑事责任，不满14周岁一律不负刑事责任。
32．	管制是轻于拘役的主刑，因此管制最低期限比拘役最低期限更低。
33．	犯罪的时候不满18周岁的人不适用死刑，但可以判处死刑缓期2年执行。
34．	甲蓄意杀害乙，一天向其开枪射击但未射中，这时枪里有五枚子弹，甲怕罪行暴露停止开枪射击。甲的行为是犯罪未遂。
35．	倒卖船票、车票属于金融诈骗。
36．	青年人胡某在下班回家的路上，看到一名歹徒正在持刀抢劫一位中年妇女，于是胡某拾起路边的石头，悄悄地将歹徒击昏在地，歹徒经医治身亡，胡某属于正当防卫。
37．	机关、团体犯罪时，只处罚该单位主要负责人和主要责任人，该单位不需要负刑事责任。
38．	无期徒刑可以减为有期徒刑。无期徒刑可以减为有期徒刑的刑期，从裁定减刑之日起计算。
39．	为了打击犯罪，对犯罪分子应当公捕公判、游街示众。
40．	我国《刑法》规定，精神病人在不能辨认或者不能控制自己行为的时候，造成的危害结果，经过法定程序鉴定确定的，也要承担责任。
41．	已满14周岁不满16周岁的人犯抢夺罪的应当负刑事责任。
42．	行贿罪的主体可以是国家工作人员，国有公司，私人企业，事业单位，人民团体和任何具有刑事责任能力的公民。
43．	没收财产是没收犯罪分子个人所有的一部分或全部财产。
44．	某仓库保管员被两名犯罪分子捆绑在门柱上不能动弹，两个犯罪分子从仓库取走价值2万元的货物。该仓库保管员的行为不构成犯罪。
45．	刑法上的因果关系是指危害行为与危害结果之间的关系。
46．	已满七十五周岁的人故意犯罪的，可以从轻或者减轻处罚。
47．	刑法是国家最高权力机关经由特殊程序制定和修改的，综合性地规定国家、社会和公民生活根本问题的，是具有最高法律效力的一种法。
48．	我国刑法规定，又聋又哑的人或是盲人犯罪，可以从轻、减轻或者免除处罚。
49．	犯罪的时候不满18周岁的人和审判的时候怀孕妇女不适用死刑。
50．	正当防卫和紧急避险实施条件中时，正当防卫可以因为无可躲避实施，而紧急避险不能以无可躲避为理由。
51．	违反治安管理行为人在公安机关受理案件或者开始调查后逃避处罚的，不受追究时效的限制。
52．	死缓是介于无期徒刑与死刑立即执行之间的一种独立刑种。
53．	紧急避险没有危害社会的故意，虽然损害了第三者的合法权益，但是却保护了更大的合法利益，是一种排除社会危害性，有利于社会的行为。
54．	正当防卫必须在侵害行为正在进行时，迫不得已的情况下进行，而紧急避险不强调迫不得已。
55．	金某已满七十五周岁，不管其通过何种手段犯何种罪，根据我国刑法规定，其均不适用死刑。
56．	伪造并出售伪造的增值税专用发票，数量巨大或者有其他特别严重情节的，可判处无期徒刑。
57．	被采取强制措施的犯罪嫌疑人，即使如实供述司法机关还未掌握的本人其他罪行，也不能以自首论。
58．	紧急避险与正当防卫的主要区别是实行的目的不同。
59．	剥夺政治权利只可附加适用，不可独立适用。
60．	审判时，已满75周岁的人不适用于死刑。
61．	我国刑法规定，单位犯罪受处罚的只能是单位法人代表。
62．	在共同犯罪中，对主犯的处罚通常重于教唆犯。
63．	违法并不是犯罪，只有违反刑法的才是犯罪。
64．	对正在进行行凶、抢劫、强奸等严重危及人身安全的暴力犯罪，采取防卫行为，造成不法侵害人伤亡的，不属于防卫过当，不负刑事责任。
65．	对于犯罪集团的首要分子，不应按集团所犯的全部罪行处罚。
66．	依照我国刑法的规定，刑罚包括主刑和罚金两种。
67．	孙某潜入本单位的财务室，把保险箱打开一看，巨款早已提走，便失望而归。孙某的行为构成犯罪预备。
68．	甲欲杀乙，一天夜里闯进乙的房间向躺在床上的乙连砍数刀后逃走，后经查明，乙遭到甲的杀害前已经死亡，甲的行为是杀人未遂。
69．	在公共汽车上，陈某、李某两青年为抢一个座位互不相让，陈某先动手打了李某一拳，李某一气之下用水果刀将陈某刺成重伤。李某的行为属于正当防卫。
70．	盗窃违禁品，按盗窃罪处理的，不计数额，根据情节轻重量刑。
71．	附加刑不能独立使用。
72．	在刑事司法中，合理解释刑法是罪刑法定原则的要求。
73．	刑事责任是严格的行为人个人责任，也是最严厉的一种法律责任。
74．	凡在中华人民共和国领域内犯罪的，都适用刑法。
75．	渎职罪在主观方面只能是故意。
76．	渎职罪就是玩忽职守罪。
77．	我国刑法对于单位犯罪的，实行的是单罚制。
78．	刑罚的轻重，应当与犯罪分子所犯罪行和承担的刑事责任相适应。
79．	王某为了杀害张某，将装好子弹的枪支交给李某，并骗李某说枪里没有子弹，让李某对着张某射着玩，李某开枪结果将张某打死，王某和李某构成共同犯罪。
80．	教唆犯在共同犯罪中所起的作用一定是主要作用，所以应当按照主犯进行处。
81．	醉酒的成人犯罪，应当负刑事责任。
82．	已满14周岁不满16周岁的人，犯抢夺罪的应当负刑事责任。
83．	醉驾在《刑法》中的对应罪名是醉驾罪。
84．	精神病人犯罪的不追究法律责任。
85．	犯罪未遂就是指的没有发生危害结果。
86．	《刑法》规定：14到18岁犯罪应当减轻或免除处罚。
87．	正当防卫超过必要限度的，都要承担刑事责任。
88．	李某属国有企业财务人员，私自动用了一笔数额较大的公款去炒股，一个月后被领导发现，其行为属于职务侵占罪。
89．	对于被假释的罪犯，在假释考验期内，由检察机关予以监督。
90．	实施危害时，不满16周岁的人，完全不负刑事责任。
91．	又聋又哑的人或者盲人犯罪，应当从轻、减轻或者免除处罚。
92．	刑法中的没收财产，是指将犯罪分子所有的全部财产强制无偿地收归国有的一种刑法。
93．	犯罪构成是指构成犯罪的主观和客观要件的综合。
94．	私放犯罪嫌疑人、被告人、罪犯，是指负有监管看守职责的国家司法机关工作人员，利用职务之便，私自将被羁押的犯罪嫌疑人、被告人或被关押的罪犯非法释放的行为。
95．	犯罪未遂是指已经着手犯罪，由于犯罪分子意志的原因而未得逞的行为。
96．	划分罪与非罪的基本标准是社会危害性大小。
97．	玩忽职守罪是社会各种人员严重不负责任，不履行或不正确履行职责，导致公共财产、国家和人民利益遭受重大损失的行为。
98．	学生犯罪未遂被拘留后，还要追究班主任的法律责任。
99．	法律面前人人平等是我国《刑法》的一项基本原则。
100．	甲骂乙，致乙因气愤而心脏病发作死亡。甲的行为和乙的死亡没有因果关系，因为甲不知道乙有心脏病。
101．	甲为了谋杀乙，在乙的饭菜中投毒，但乙有急事未吃饭。甲的行为属于犯罪预备，应负刑事责任。
102．	罪责自负、主观与客观相统一、惩办与宽大相结合，是我国刑法明文规定的三项基本原则。
103．	行贿罪的主体不一定是国家工作人员，非国家工作人员也可以构成该罪。
104．	有期徒刑的期限，一般为6个月以上15年以下。
105．	张三和李四有仇，某日，张三见李四前往公用水井打水，便抢先一步在水井中下毒，结果导致李四饮水后死亡。张三的行为已构成故意杀人罪。
106．	《刑法》第78条规定，判处无期徒刑的，减刑以后实际执行的刑期不能少于5年。
107．	我国刑法的任务是惩治犯罪，保护人民；我国刑罚中最厉害的手段是终身监禁。
108．	渎职罪在主观方面只能是故意，不存在过失所为。
109．	犯罪构成是构成犯罪的主观和客观要件的综合。
110．	刑法规定：对于未遂犯，可以比照既遂犯减轻或免除处罚。
111．	享有外交特权和豁免权的外国人在我国领域内犯罪，也应适用我国刑法，这是刑法面前人人平等原则的必然要求。
112．	犯罪的主观方面是犯罪构成的主观要件。
113．	我国《刑法》规定的完全不负刑事责任的年龄阶段，指不满16周岁的人对所有的犯罪均不承担刑事责任。
114．	在抢劫犯抢得财物后立即对抢劫犯实施暴力造成轻伤而夺回财物的，属于正当防卫。
115．	犯罪的行为或结果有一项发生在我国领域内的就可以认为是在中国境内进行的犯罪。
116．	我国刑法理论将犯罪客体分为一般客体、特殊客体、同类客体和直接客体。
117．	被采取强制措施的犯罪嫌疑人、被告人和正在服刑的罪犯，即使如实的供述了公安机关未掌握的本人其他罪行，也不能以自首论。
118．	完全负刑事责任的年龄是年满18周岁。
119．	刑法的三个原则是罪刑法定原则、罪责刑相适应原则和罪责自负反对株连原则。




第6页共7页

第1页共2页


